Title,Address,Price,Bedrooms,Building Area (m²),Land Area (m²),rejection_reason
kosan 8 pintu di perumnas karawaci," karawaci, tangerang",rp 450jt,8.0,80m²,90m²,Impossible bedroom density; 
rumah 1 lantai pinggir jalan raya," karawaci, tangerang",rp 650jt,3.0,0m²,60m²,Impossible bedroom density; Unrealistically high price for building area; 
dijual cendana icon lippo ," karawaci, tangerang","rp 1,50m",2.0,55.0m²,9033m²,Unrealistically low price for land area; 
dijual murah perumahan kvaling agratia nusa jaya karawaci tangerang," karawaci, tangerang","rp 765,50jt",2.0,1m²,93m²,Impossible bedroom density; Unrealistically high price for building area; 
rumah di cluster louise gading serpong ," pagedangan, tangerang","rp 4,68m",5.0,3237m²,150m²,Impossible building-to-land ratio; 
dijual rumah di foresta cluster foglio bsd city," pagedangan, tangerang","rp 3,10m",33.0,140m²,144m²,Impossible bedroom density; 
rumah zuma malibu dengan furnish di lokasi ramai gading serpong,"jalan malibu village-decker, cijantra kel., pagedangan, tangerang kabupaten, 15854, indonesia pagedangan, tangerang","rp 1,80m",2.0,74m²,1m²,Impossible building-to-land ratio; 
dijual rumah assana vanya park bsd 2kt semi furnished ," pagedangan, tangerang","rp 1,35m",2.0,4m²,60m²,Impossible bedroom density; Unrealistically high price for building area; 
cluster the blizfield bsd city,"pjcj+499, lengkong kulon, pagedangan, tangerang regency, banten 15331 pagedangan, tangerang",rp 9m,45.0,248m²,241m²,Impossible bedroom density; 
"rumah siap huni, full furnish at alesha house vanya park bsd"," pagedangan, tangerang","rp 1,30m",4.0,30m²,90m²,Impossible bedroom density; 
"jual cepat rumah brand new siap huni di bsd, nego sampai deal","bsd pagedangan, tangerang","rp 3,80m",4.0,1m²,98m²,Impossible bedroom density; Unrealistically high price for building area; 
"dijual rumah mewah the avani bsd city, terdapat kolam renang, brand new"," cisauk, tangerang","rp 6,25m",4.0,3000m²,234m²,Impossible building-to-land ratio; 
jual rugi rumah depan taman semi furnished siap huni di golden park 2 ,"golden park 2 - tangerang cisauk, tangerang",rp 1.000jt,4.0,70m²,90m²,Unrealistically low price for land area; 
naira residence lake view dekat stasiun dan intermoda," cisauk, tangerang",rp 898jt,3.0,5m²,60m²,Impossible bedroom density; Unrealistically high price for building area; 
rumah di citra garden serpong cluster elaia ," cisauk, tangerang","rp 1,80m",34.0,111m²,96m²,Impossible bedroom density; 
